Geo Code,Geo Name,Line Number
"35060080764","35060764",2118923
"35060080765","35060765",2121170
"35060080766","35060766",2123417
"35060080767","35060767",2125664
"35060080768","35060768",2127911
"35060080771","35060771",2130158
"35060080773","35060773",2132405
"35060080774","35060774",2134652
"35060080775","35060775",2136899
"35060080777","35060777",2139146
"35060080778","35060778",2141393
"35060080779","35060779",2143640
"35060080780","35060780",2145887
"35060080781","35060781",2148134
"35060080782","35060782",2150381
"35060080783","35060783",2152628
"35060080784","35060784",2154875
"35060080785","35060785",2157122
"35060080786","35060786",2159369
"35060080787","35060787",2161616
"35060080789","35060789",2163863
"35060080790","35060790",2166110
"35060080792","35060792",2168357
"35060080793","35060793",2170604
"35060080794","35060794",2172851
"35060080795","35060795",2175098
"35060080796","35060796",2177345
"35060080797","35060797",2179592
"35060080798","35060798",2181839
"35060080799","35060799",2184086
"35060080800","35060800",2186333
"35060080801","35060801",2188580
"35060080802","35060802",2190827
"35060080815","35060815",2193074
"35060080816","35060816",2195321
"35060080817","35060817",2197568
"35060080818","35060818",2199815
"35060080819","35060819",2202062
"35060080820","35060820",2204309
"35060080823","35060823",2206556
"35060080833","35060833",2208803
"35060080834","35060834",2211050
"35060080835","35060835",2213297
"35060080836","35060836",2215544
"35060080837","35060837",2217791
"35060080838","35060838",2220038
"35060080840","35060840",2222285
"35060080841","35060841",2224532
"35060080842","35060842",2226779
"35060080843","35060843",2229026
"35060080844","35060844",2231273
"35060080845","35060845",2233520
"35060080860","35060860",2235767
"35060080861","35060861",2238014
"35060080862","35060862",2240261
"35060080864","35060864",2242508
"35060080865","35060865",2244755
"35060080866","35060866",2247002
"35060080867","35060867",2249249
"35060080868","35060868",2251496
"35060080869","35060869",2253743
"35060080870","35060870",2255990
"35060080871","35060871",2258237
"35060080872","35060872",2260484
"35060080874","35060874",2262731
"35060080875","35060875",2264978
"35060080876","35060876",2267225
"35060080877","35060877",2269472
"35060080885","35060885",2271719
"35060080888","35060888",2273966
"35060080889","35060889",2276213
"35060080890","35060890",2278460
"35060080891","35060891",2280707
"35060080892","35060892",2282954
"35060080893","35060893",2285201
"35060080894","35060894",2287448
"35060080895","35060895",2289695
"35060080898","35060898",2291942
